"ID";"Distance_traveled1";"Hang1";"Unknown_behavior1";"Rest1";"Rear1";"Walk1";"Groom1";"Micro_move1";"Eat1";"Drink1";"Distance_traveled2";"Hang2";"Unknown_behavior2";"Rest2";"Rear2";"Walk2";"Groom2";"Micro_move2";"Eat2";"Drink2";"Distance_traveled3";"Hang3";"Unknown_behavior3";"Rest3";"Rear3";"Walk3";"Groom3";"Micro_move3";"Eat3";"Drink3"
"100";0.163397964913251;0.135733140452684;0.173722135831087;0.73301825727319;0.265016855452507;0.160575704075081;0.312743663495022;0.451844729707659;0.0431749662325827;0;0.158822814688263;0.0945942076629416;0.262090095599819;0.66015636109654;0.132317898785813;0.189365514348553;0.388227370192014;0.527509511506338;0.0441582701198769;0;0.168627270801813;0.120808477364709;0.222384692815726;0.68362908183096;0.216320913757996;0.180362551958835;0.358870847028063;0.499998011203357;0.0450090312706857;0
"101";0.794155615424846;0.495153579206248;0.13320266337205;0.133497356266457;0.253507980738702;0.341105856816847;0.424333803918274;0.590661641137608;0.0926019824262807;0.00725979175424932;0.1765396674879;0.164457826475935;0.0728707413376567;0.437654044272236;0.172139140618055;0.199806660845485;0.366744391813882;0.751277170913472;0.075187366881204;0.0110335457108349;0.503843809054562;0.372647181932263;0.109860788191049;0.297473041782413;0.221605048630876;0.285375022958796;0.405345936551725;0.676284765237741;0.0864385523040557;0.00952398653999316
"103";0.0408255694138245;0.0709945192506623;0.843905019187885;0.459619533796146;0.144794081230799;0.0416377616453653;0.0768364321030906;0.153480200774123;0.138584745971109;0;0.396078981311759;0.311668139184218;0.138075919741185;0.585037069875185;0.193529763332659;0.270485915474889;0.33404712570532;0.551345602595067;0.118357656002049;0;0.228613486139391;0.232523474870498;0.620822075743008;0.499685615200796;0.176066744785863;0.196690658304014;0.238480990963637;0.407428509833163;0.133476737736907;0
"104";0.210162195142607;0.169148416749511;0.264360111290016;0.440672583028307;0.203158143312887;0.198431191541886;0.266226520894073;0.742983823073479;0.0508912705921682;0;0.106510392763773;0.0995990068397992;0.157325815950858;0.548717044975581;0.129168716779827;0.141610985807823;0.43936801911667;0.654979475365566;0.0637718984707031;0;0.160267824350514;0.138943172870565;0.215745826543711;0.489417242875318;0.173722824596317;0.175325989641493;0.367824473663141;0.703054206417643;0.0576152448139183;0
"105";0.0245512432764942;0.00471077491886007;0.0436859304643396;0.901379226821143;0.105226347519763;0.0505082808100817;0.135354537057722;0.38955384196639;0;0;0.15092206052123;0.15223692873134;0.103929390503853;0.348985615810214;0.218486489879057;0.198067399017986;0.384745618096239;0.773828009667213;0.0914365370827592;0;0.0851187478984637;0.105262468855537;0.078374807329393;0.700750363676754;0.169030850459027;0.14317260600976;0.252145005374683;0.611046836264385;0.0646652447836167;0
"106";0.207567173630792;0.280211920597263;0.250866274431303;0.741550025210213;0.197525139092459;0.147081321844793;0.147357679533074;0.453181079343266;0.140848099431575;0;0.22404005326006;0.16576128926667;0.183972842379177;0.500903058121545;0.189297575710781;0.222706700502162;0.45291341319881;0.6215498685253;0.100114711772317;0.00378777017064908;0.205483512307699;0.227305729582343;0.217397103059584;0.646435966365898;0.190569805350757;0.184581564009277;0.328315991088623;0.538761730104908;0.118275845485309;0.00271662917859538
"107";0.597391138092877;0.347557345902639;0.350606105107552;0.553107473187435;0.233155602361279;0.262834221281668;0.357249729643296;0.386558715885847;0.119154828497796;0;0.272027232123664;0.384623138867303;0.241994739316291;0.676166650204327;0.271365817537224;0.173031037334575;0.287529758398076;0.376506374285479;0.034271819528449;0;0.449291222408668;0.37183034639455;0.30799993546914;0.604111781746164;0.256984117037994;0.226343733766943;0.32685538119357;0.384794630125584;0.0898105147509367;0
"108";0.255866228721664;0.219498011672979;0.236060280864669;0.755041615463687;0.295548729999682;0.160644785105697;0.181454034019268;0.41257509980322;0.081349004892084;0;0.116189819081007;0.170967735280391;0.0998196579039718;0.771533606458927;0.168024811782052;0.152836307120496;0.353444072450465;0.419988931650103;0.100699309730229;0;0.194737709428596;0.201559199257877;0.186990322151917;0.756249923290559;0.246920698803671;0.159917751650838;0.277693624115554;0.42139375545272;0.0932117338070152;0
"109";0.249242449371433;0.327755921924741;0.289758933603125;0.468084498080015;0.253444143633343;0.203117161067008;0.267988517203173;0.624948260234346;0.0669250643234794;0;0.0696013716077552;0.0580242204001845;0.411913684745433;0.699306891796774;0.109045684319187;0.106678022662436;0.383856441595748;0.403428631392115;0.0479019404931868;0;0.165752487870128;0.243502628882257;0.358305158517884;0.583792285526911;0.200467115671371;0.166986745564107;0.318938693923785;0.537070083718288;0.059921174744642;0
"110";NA;0.290343906275359;0.0637551952321836;0.531924862341542;0.224203526849351;0.21765785584236;0.485562239942592;0.536487437156302;0.0855646713966454;0.00912237650618882;NA;0.147127671510623;0.0479463301485384;0.756750590312751;0.162248921856751;0.167603687813193;0.360673327322864;0.46006204812243;0.0820708973017113;0.0200573889271438;NA;0.237821790381158;0.0579715147069053;0.635167545569886;0.200519226507098;0.199363414758773;0.435880192585712;0.508863722972285;0.0861734915549218;0.0159289467097979
