experiment_folder_name,Behavior_sequence,animal_ID
9-6-04,cage 1 3976 9-6-7-04 bins.xls,3976
9-5-04,3976 9-5-6-04 bins.xls,3976
10-27-04,cage 1 3976 10-27-28-04 bins.xls,3976
10-26-04,cage 1 3976 10-26-27-04 bins.xls,3976
10-14-04,cage 1 3976 10-14-15-04 new set file bins.xls,3976
10-13-04,cage 1 3976 10-13-14-04 bins.xls,3976
9-6-04,cage 3 3977 9-6-7-04 bins.xls,3977
9-5-04,3977 9-5-6-04 bins.xls,3977
10-27-04,cage 3 3977 10-27-28-04 bins.xls,3977
10-26-04,cage 3 3977 10-26-27-04 bins.xls,3977
10-14-04,cage 3 3977 10-14-15-04 new set file bins.xls,3977
10-13-04,cage 3 3977 10-13-14-04 bins.xls,3977
12-1-04,cage 2 4768 12-1-2-04 bins.xls,4768
11-30-04,cage 2 4768 11-30-12-1-04 bins.xls,4768
10-27-04,cage 2 4768 10-28-29-04 bins.xls,4768
10-26-04,cage 2 4768 10-26-27-04 bins.xls,4768
12-1-04,cage 4 4769 12-1-2-04 bins.xls,4769
11-30-04,cage 4 4769 11-30-12-1-04 bins.xls,4769
10-27-04,cage 4 4769 10-27-28-04 bins.xls,4769
10-26-04,cage 4 4769 10-26-27-04 bins.xls,4769
12-6-04,cage 1 4770 12-6-7-04 bins.xls,4770
12-5-04,cage 1 4770 12-5-6-04 bins.xls,4770
11-2-04,cage1 4770 11-2-3-04 bins.xls,4770
11-1-04,cage 1 4770 11-1-2-04 bins.xls,4770
12-6-04,cage 3 4771 12-6-7-04 bins.xls,4771
12-5-04,cage 3 4771 12-5-6-04 bins.xls,4771
11-2-04,cage3 4771 11-2-3-04 bins.xls,4771
11-1-04,cage 3 4771 11-1-2-04 bins.xls,4771
11-6-04,cage1 4787 11-6-7-04 26 hr beh bins.xls,4787
12-9-04,cage2 4989 12-9-10-04 bins.xls,4989
12-11-04,cage2 4989 12-11-12-04 bins.xls,4989
11-6-04,cage2 4989 11-6-7-04 26 hour bins.xls,4989
11-5-04,cage2 4989 11-5-6-04 bins.xls,4989
12-9-04,cage4 4990 12-9-10-04 bins.xls,4990
12-11-04,cage4 4990 12-11-12-04 bins.xls,4990
11-5-04,cage4 4990 11-5-6-04 bins.xls,4990
12-14-04,cage2 4992 12-14-15-04 bins.xls,4992
12-13-04,cage2 4992 12-13-14-04 bins.xls,4992
11-9-04,cage2 4992 11-9-10-04 bins.xls,4992
11-8-04,cage2 4992 11-8-9-04 bins.xls,4992
12-14-04,cage4 4993 12-14-15-04 bins.xls,4993
12-13-04,cage4 4993 12-13-14-04 bins.xls,4993
11-9-04,cage4 4993 11-9-10-04 bins.xls,4993
11-8-04,cage4 4993 11-8-9-04 bins.xls,4993
12-28-04,cage1 5210 12-28-29-04 bins.xls,5210
12-27-04,cage1 5210 12-27-28-04 bins.xls,5210
11-24-04,cage1 5210 11-24-25-04 bins.xls,5210
11-23-04,cage1 5210 11-23-24-04 bins.xls,5210
12-28-04,cage3 5211 12-28-29-04 bins.xls,5211
12-27-04,cage3 5211 12-27-28-04 bins.xls,5211
11-24-04,cage3 5211 11-24-25-04 bins.xls,5211
11-23-04,cage3 5211 11-23-24-04 bins.xls,5211
2-2-05,cage1 5891 2-2-3-05 bins.xls,5891
2-1-05,cage1 5891 2-1-2-05 bins.xls,5891
12-24-04,cage2 5891 12-24-25-04 bins.xls,5891
12-23-04,cage 4 5891 12-23-24-04 bins.xls,5891
2-2-05,cage3 5892 2-2-3-05 bins.xls,5892
2-1-05,cage3 5892 2-1-2-05 bins.xls,5892
12-24-04,cage4 5892 12-24-25-04 bins.xls,5892
12-23-04,cage 2 5892 12-23-24-04 bins.xls,5892
