"","Resttime","Dayworked"
"1",226.2,NA
"2",223.7,"714"
"3",215.053864836958,"717"
"4",213.720531503625,"720"
"5",208.897475948069,"720"
"6",207.94108705918,"724"
"7",206.027862625255,"727"
"8",199.264365726114,"728"
"9",192.387836676704,"731"
"10",188.80913622227,"803"
"11",185.493901441429,"804"
"12",180.577234774762,"807"
"13",177.989716502561,"821"
"14",171.003231085606,"824"
"15",169.654517542323,"830"
"16",163.455496221781,"0831"
"17",155.872162888448,"0831"
