"behav";"Bouts";"seconds";"ID";"animal_ID";"gender";"treatment";"genotype";"date";"test.cage";"real.time.start";"dark.start";"project.name"
"Dig";3294;788.56;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Drink Spout1";0;0;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Drink Spout2";0;0;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Drink Spout3";0;0;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Eat Zone1";1196;1100.6;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Eat Zone2";0;0;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Eat Zone3";0;0;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Forage";2575;578.28;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Groom";278;7365.2;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Hang Cuddled";490;142.68;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Hang Vertically";0;0;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Hang Vertically From HangCuddled";316;96.6;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Hang Vertically From Rear Up";1846;477.92;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Jump";157;79.52;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Land Vertically";830;222.4;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"No Data";132;1986.72;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Pause";249;1921.88;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Rear Up";2785;718.12;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Rear up From Partially Reared";21;5.24;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Rear up To Partially Reared";138;41.24;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Remain Hang Cuddled";247;373;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Remain Hang Vertically";2749;4757.6;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Remain Low";15549;20559;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Remain Partially Reared";37;14.56;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Remain RearUp";1443;749.12;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Repetitive Jumping";10;7.56;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Sleep";47;29001.84;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Sniff";901;546.72;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Stationary";83;32.8;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Stretch Body";861;788.36;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Turn";9612;2583.6;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Twitch";645;1678.12;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Unknown Behavior";2581;1549.56;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Urinate";0;0;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Walk Left";2222;963.92;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Walk Right";2251;991.44;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Walk Slowly";10468;3598.92;"105";"26";"M";"old";"control";"06.07.2016";"3";10:24:00;18:00:00;"Tarabykin"
"Awaken";44;67.72;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Chew";923;954.6;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Circle";0;0;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Come Down";585;148.04;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Come Down From Partially Reared";2835;727.12;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Come Down To Partially Reared";1172;292.88;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Dig";381;80.12;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Drink Spout1";75;50.76;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Drink Spout2";0;0;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Drink Spout3";0;0;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Eat Zone1";2173;2725.52;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Eat Zone2";0;0;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Eat Zone3";0;0;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Forage";529;136.96;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Groom";278;7339.64;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Hang Cuddled";73;19.48;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Hang Vertically";0;0;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Hang Vertically From HangCuddled";53;14.64;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Hang Vertically From Rear Up";163;41.08;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Jump";165;86.8;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Land Vertically";104;27.36;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"No Data";37;488.12;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Pause";331;2711.36;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Rear Up";315;81.6;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Rear up From Partially Reared";1349;326.72;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Rear up To Partially Reared";2502;666.64;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Remain Hang Cuddled";54;355.76;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Remain Hang Vertically";131;105;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Remain Low";10807;15769.64;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Remain Partially Reared";1187;678.72;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Remain RearUp";578;349.36;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Repetitive Jumping";4;3.96;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Sleep";45;40350.72;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Sniff";2116;2209.8;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Stationary";109;48.72;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Stretch Body";794;665.48;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Turn";8036;2094.68;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Twitch";561;1799.96;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Unknown Behavior";752;354.72;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Urinate";0;0;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Walk Left";928;426.28;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Walk Right";1004;412.08;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Walk Slowly";7032;2386.04;"106";"28";"M";"old";"control";"06.07.2016";"4";10:24:00;18:00:00;"Tarabykin"
"Awaken";47;141.92;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Chew";134;121.88;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Circle";0;0;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Come Down";651;179.36;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Come Down From Partially Reared";13;4.16;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Come Down To Partially Reared";1;0.28;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Dig";971;223;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Drink Spout1";0;0;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Drink Spout2";0;0;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Drink Spout3";0;0;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Eat Zone1";357;370.72;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Eat Zone2";0;0;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Eat Zone3";0;0;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Forage";717;153.48;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Groom";458;15002.56;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Hang Cuddled";76;24.28;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Hang Vertically";0;0;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Hang Vertically From HangCuddled";53;17.16;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Hang Vertically From Rear Up";301;76.8;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Jump";16;8.12;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Land Vertically";150;39.36;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"No Data";18;981.68;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Pause";256;1997.44;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Rear Up";642;164.12;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Rear up From Partially Reared";0;0;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Rear up To Partially Reared";7;2.08;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Remain Hang Cuddled";25;13.08;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Remain Hang Vertically";380;401.12;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Remain Low";8498;17497.56;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Remain Partially Reared";4;3.44;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Remain RearUp";386;223.52;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Repetitive Jumping";0;0;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Sleep";49;40358;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Sniff";389;286.76;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Stationary";25;9.72;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Stretch Body";338;401.92;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Turn";4232;1127.96;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Twitch";565;1597.2;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Unknown Behavior";658;435.08;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Urinate";0;0;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Walk Left";402;133;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Walk Right";398;147.4;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
"Walk Slowly";6017;2117.52;"107";"7";"M";"old";"test";"07.07.2016";"3";10:32:00;18:00:00;"Tarabykin"
